fragmento,cosine_Known,cosine_Unknown
1,0.9617974736260475,0.9279893828843429
2,0.9648431358005573,0.9370310718547951
3,0.9689727893653969,0.9436433609079181
4,0.9714142836136819,0.9427052343788009
5,0.9713012216163875,0.9530564312274089
6,0.9647273875838703,0.9484945627341281
7,0.9653225607596786,0.9460324947402396
8,0.9663494627259744,0.9422223665871898
9,0.9564328542915195,0.937252042771163
10,0.9494401463514018,0.921559711110754
11,0.9418962525926865,0.9087142998733242
12,0.9531894280631238,0.9178921510019612
13,0.9594858518321328,0.9349949506092199
